path_name,overlapping_genes,adj_p_val
regulation of receptor signaling pathway via JAK-STAT (GO:0046425),"['NOTCH1', 'HES1', 'HES5']",0.2732626522909688
neural crest cell development (GO:0014032),"['SEMA6D', 'SOX8', 'SOX10']",0.2732626522909688
sphingolipid metabolic process (GO:0006665),"['FA2H', 'GAL3ST1', 'ENPP2', 'ELOVL7', 'PLPP3']",0.2781675223803397
alpha-amino acid metabolic process (GO:1901605),"['FOLH1', 'GPT', 'ASPA']",0.2781675223803397
positive regulation of nucleocytoplasmic transport (GO:0046824),"['TCF7L2', 'JUP', 'ZIC1']",0.2781675223803397
positive regulation of smooth muscle cell proliferation (GO:0048661),"['GJA1', 'NR4A3', 'HES5']",0.2781675223803397
cellular response to growth factor stimulus (GO:0071363),"['NOTCH1', 'SPRY2', 'SOX6', 'EGFR', 'ZFP36L1', 'VEGFA']",0.2781675223803397
negative regulation of cellular component organization (GO:0051129),"['SPRY2', 'ABCA7', 'CRYAB', 'VEGFA']",0.2781675223803397
aspartate family amino acid catabolic process (GO:0009068),"['PIPOX', 'ASPA']",0.2781675223803397
aspartate family amino acid metabolic process (GO:0009066),"['FOLH1', 'ASPA']",0.2781675223803397
regulation of cell-cell adhesion mediated by cadherin (GO:2000047),"['NOTCH1', 'VEGFA']",0.2781675223803397
detection of mechanical stimulus (GO:0050982),"['JUP', 'PKD2L1']",0.2781675223803397
heart trabecula morphogenesis (GO:0061384),"['NOTCH1', 'S1PR1']",0.2781675223803397
mesenchymal cell development (GO:0014031),"['NOTCH1', 'SOX8']",0.2781675223803397
ureteric bud development (GO:0001657),"['SALL1', 'LHX1']",0.2781675223803397
negative regulation of striated muscle cell differentiation (GO:0051154),"['NOTCH1', 'SOX6']",0.2781675223803397
positive regulation of protein kinase B signaling (GO:0051897),"['PDGFRA', 'TCF7L2', 'ERBB3', 'GAB1', 'SPRY2', 'EGFR']",0.29674747493979603
cell-cell junction organization (GO:0045216),"['JUP', 'CDH20', 'LIMS2', 'CDH19']",0.29674747493979603
dopaminergic neuron differentiation (GO:0071542),"['NR4A2', 'VEGFA']",0.29801483675960183
eye morphogenesis (GO:0048592),"['NKD1', 'VEGFA']",0.29801483675960183
gastrulation (GO:0007369),"['NR4A3', 'LHX1']",0.29801483675960183
skeletal muscle contraction (GO:0003009),"['TNNI1', 'MYH14']",0.29801483675960183
adherens junction organization (GO:0034332),"['JUP', 'CDH20', 'CDH19']",0.30592571203747265
negative regulation of cell projection organization (GO:0031345),"['MAG', 'LPAR1', 'SPRY2']",0.30592571203747265
positive regulation of actin filament polymerization (GO:0030838),"['GSN', 'CDC42EP2', 'CDC42EP1']",0.30592571203747265
regulation of neuron projection development (GO:0010975),"['NTNG2', 'MAG', 'LPAR1', 'PLXNB3', 'MBOAT1', 'PTN']",0.3151327806408955
anterior/posterior axis specification (GO:0009948),"['LHX1', 'WLS']",0.3151327806408955
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),"['NOTCH1', 'VEGFA']",0.3151327806408955
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707),"['GJA1', 'NR4A3']",0.3151327806408955
amino acid transport (GO:0006865),"['SLC7A11', 'SLC7A10', 'SLC38A3']",0.3151327806408955
regulation of MAPK cascade (GO:0043408),"['SOX2', 'GPR37', 'LPAR1', 'ABCA7', 'GPR37L1', 'EGFR']",0.31688541936595715
regulation of epithelial cell migration (GO:0010632),"['DOCK5', 'ENPP2', 'PTN']",0.327074006456113
negative regulation of transport (GO:0051051),"['ERBB3', 'ABCA7', 'CRYAB']",0.327074006456113
negative regulation of protein metabolic process (GO:0051248),"['EDNRB', 'CRYAB', 'EGFR']",0.3419426726786931
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),"['GJA1', 'TRIM13', 'LPAR1', 'CXXC5', 'LITAF', 'WLS']",0.3477877319805248
heart morphogenesis (GO:0003007),"['NOTCH1', 'HES1', 'VEGFA']",0.3477877319805248
artery development (GO:0060840),"['HES1', 'VEGFA']",0.3477877319805248
regulation of protein export from nucleus (GO:0046825),"['TCF7L2', 'IFI27']",0.3477877319805248
ERK1 and ERK2 cascade (GO:0070371),"['AVP', 'ZFP36L1']",0.3477877319805248
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),"['UNC5B', 'EYA4']",0.3477877319805248
negative regulation of signal transduction in absence of ligand (GO:1901099),"['UNC5B', 'EYA4']",0.3477877319805248
positive regulation of protein autophosphorylation (GO:0031954),"['RASSF2', 'VEGFA']",0.3477877319805248
striated muscle contraction (GO:0006941),"['TNNI1', 'MYH14', 'ATP1A2']",0.3477877319805248
positive regulation of transport (GO:0051050),"['DAB2', 'MLC1', 'ABCA7', 'SGK2']",0.3477877319805248
negative regulation of nucleic acid-templated transcription (GO:1903507),"['TCF7L2', 'NKX6-2', 'NOTCH1', 'SALL1', 'ATP8B1', 'LHX1', 'ID3', 'HES1', 'SOX8', 'CRYAB', 'GLI3', 'POU3F3']",0.3477877319805248
Wnt signaling pathway (GO:0016055),"['NR4A2', 'TCF7L2', 'PLPP3', 'WLS']",0.3477877319805248
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100),"['ZEB2', 'DAB2', 'NOTCH1', 'HES5']",0.3477877319805248
regulation of axon extension involved in axon guidance (GO:0048841),"['SEMA6D', 'VEGFA']",0.3477877319805248
regulation of cardiac muscle hypertrophy (GO:0010611),"['NOTCH1', 'NR4A3']",0.3477877319805248
cardiac muscle cell development (GO:0055013),"['PDGFRA', 'VEGFA']",0.3477877319805248
cellular response to catecholamine stimulus (GO:0071870),"['NR4A3', 'PDE4B']",0.3477877319805248
dorsal/ventral pattern formation (GO:0009953),"['LHX1', 'DSCAML1']",0.3477877319805248
endocrine system development (GO:0035270),"['SOX2', 'SALL1']",0.3477877319805248
establishment of mitotic spindle orientation (GO:0000132),"['GJA1', 'INSC']",0.3477877319805248
response to gamma radiation (GO:0010332),"['TRIM13', 'CRYAB']",0.3477877319805248
lipid translocation (GO:0034204),"['ATP8B1', 'ABCA7']",0.3477877319805248
long-chain fatty-acyl-CoA metabolic process (GO:0035336),"['ACSBG1', 'ELOVL7']",0.3477877319805248
negative regulation of ossification (GO:0030279),"['NOTCH1', 'LRP4']",0.3477877319805248
phospholipid catabolic process (GO:0009395),"['ENPP2', 'PLA2G4A']",0.3477877319805248
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846),"['DAB2', 'ZEB2']",0.3477877319805248
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),"['NOTCH1', 'VEGFA']",0.3477877319805248
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511),"['DAB2', 'ZEB2']",0.3477877319805248
protein kinase B signaling (GO:0043491),"['TYRO3', 'ZFP36L1']",0.3477877319805248
regulation of cell motility (GO:2000145),"['ERBB3', 'ENPP2', 'PLXNB3', 'AMOTL2', 'EGFR']",0.3477877319805248
positive regulation of peptidyl-serine phosphorylation (GO:0033138),"['SPRY2', 'AVP', 'EGFR', 'VEGFA']",0.3477877319805248
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),"['ERBB3', 'ENPP2', 'HES1', 'HES5', 'VEGFA']",0.3477877319805248
Rho protein signal transduction (GO:0007266),"['CDC42EP2', 'CDC42EP1', 'ARHGAP29']",0.3477877319805248
sensory organ development (GO:0007423),"['SOX2', 'MEIS1', 'MEIS2']",0.3477877319805248
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),"['GJA1', 'TRIM13', 'LPAR1', 'TRIM59', 'CXXC5', 'LITAF', 'WLS']",0.3477877319805248
regulation of kinase activity (GO:0043549),"['PDGFRA', 'ERBB3', 'TYRO3', 'EGFR']",0.3477877319805248
in utero embryonic development (GO:0001701),"['SOX8', 'VEGFA']",0.3477877319805248
chordate embryonic development (GO:0043009),"['SOX8', 'HES5', 'VEGFA']",0.3477877319805248
membrane lipid biosynthetic process (GO:0046467),"['FA2H', 'ELOVL7', 'PLPP3']",0.3477877319805248
negative regulation of neuron projection development (GO:0010977),"['MAG', 'LPAR1', 'LRP4']",0.3477877319805248
regulation of biomineral tissue development (GO:0070167),"['NOTCH1', 'S1PR1']",0.3477877319805248
response to reactive oxygen species (GO:0000302),"['PDGFRA', 'APOD', 'EGFR']",0.3477877319805248
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),"['HES1', 'HES5', 'VEGFA']",0.3477877319805248
enzyme linked receptor protein signaling pathway (GO:0007167),"['PDGFRA', 'ERBB3', 'TYRO3', 'PTN', 'EGFR']",0.3477877319805248
regulation of neuron apoptotic process (GO:0043523),"['MAG', 'ERBB3', 'UNC5B', 'TYRO3']",0.3477877319805248
negative regulation of neuron death (GO:1901215),"['MAG', 'ERBB3', 'UNC5B', 'TYRO3']",0.3477877319805248
positive regulation of gene expression (GO:0010628),"['IL33', 'GJA1', 'GSN', 'NOTCH1', 'SPRY2', 'MITF', 'AVP', 'PLD1', 'VSIR', 'EGFR', 'POU3F3', 'VEGFA']",0.3477877319805248
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),"['GPR37', 'LPAR1', 'GPR37L1']",0.3477877319805248
Notch signaling pathway (GO:0007219),"['NOTCH1', 'HES1', 'HES5']",0.3477877319805248
regulation of cardiac muscle cell contraction (GO:0086004),"['JUP', 'PDE4B']",0.3477877319805248
camera-type eye development (GO:0043010),"['HES5', 'VEGFA']",0.3477877319805248
positive regulation of BMP signaling pathway (GO:0030513),"['NOTCH1', 'HES5']",0.3477877319805248
positive regulation of mitotic cell cycle (GO:0045931),"['HES1', 'MEIS2']",0.3477877319805248
Ras protein signal transduction (GO:0007265),"['CDC42EP2', 'ARHGAP29', 'CDC42EP1', 'PLD1', 'RASGRP3']",0.3477877319805248
organic acid transport (GO:0015849),"['ATP8B1', 'SLC7A11', 'SLC38A3', 'SLC7A10']",0.3477877319805248
positive regulation of macromolecule metabolic process (GO:0010604),"['IL33', 'GJA1', 'GSN', 'NOTCH1', 'SPRY2', 'MITF', 'AVP', 'VSIR', 'POU3F3', 'VEGFA']",0.3477877319805248
receptor clustering (GO:0043113),"['LRP4', 'PTN']",0.3477877319805248
cellular response to epidermal growth factor stimulus (GO:0071364),"['EGFR', 'ZFP36L1']",0.3477877319805248
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239),"['UNC5B', 'EYA4']",0.3477877319805248
regulation of muscle contraction (GO:0006937),"['TNNI1', 'ATP1A2']",0.3477877319805248
regulation of plasma membrane bounded cell projection organization (GO:0120035),"['NTNG2', 'MBOAT1']",0.3477877319805248
glycerophospholipid catabolic process (GO:0046475),"['ENPP2', 'PLA2G4A']",0.3477877319805248
L-amino acid transport (GO:0015807),"['SLC1A3', 'SLC38A3']",0.3477877319805248
ventricular septum morphogenesis (GO:0060412),"['NOTCH1', 'HES1']",0.3477877319805248
negative regulation of axonogenesis (GO:0050771),"['MAG', 'LRP4']",0.3477877319805248
negative regulation of oxidative stress-induced cell death (GO:1903202),"['GPR37', 'GPR37L1']",0.3477877319805248
neutral amino acid transport (GO:0015804),"['SLC7A10', 'SLC38A3']",0.3477877319805248
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482),"['GPR17', 'LPAR1']",0.3477877319805248
positive regulation of protein import into nucleus (GO:0042307),"['JUP', 'ZIC1']",0.3477877319805248
regulation of neurogenesis (GO:0050767),"['NOTCH1', 'HES1', 'HES5']",0.3477877319805248
actin cytoskeleton reorganization (GO:0031532),"['GSN', 'GAB1', 'S1PR1']",0.3477877319805248
amyloid fibril formation (GO:1990000),"['TSPAN15', 'GSN', 'MFGE8']",0.3477877319805248
positive regulation of Ras protein signal transduction (GO:0046579),"['GPR17', 'NOTCH1', 'LPAR1']",0.3477877319805248
regulation of cell population proliferation (GO:0042127),"['PDGFRA', 'TCF7L2', 'NOTCH1', 'JUP', 'PTN', 'MEIS2', 'ST18', 'EGFR', 'POU3F3', 'VEGFA', 'ZFP36L1', 'MEIS1', 'NR4A3', 'ERBB3', 'HES1', 'SGK2', 'HES5']",0.3477877319805248
dicarboxylic acid transport (GO:0006835),"['GJA1', 'SLC1A3']",0.3477877319805248
establishment of mitotic spindle localization (GO:0040001),"['GJA1', 'INSC']",0.3477877319805248
positive regulation of leukocyte migration (GO:0002687),"['PTN', 'VEGFA']",0.3477877319805248
axonogenesis (GO:0007409),"['NTNG2', 'NOTCH1', 'UNC5B', 'SEMA6D', 'GAB1', 'PRKCQ', 'DSCAML1']",0.3477877319805248
plasma membrane organization (GO:0007009),"['FA2H', 'ABCA7', 'TLCD1']",0.3477877319805248
positive regulation of transferase activity (GO:0051347),"['PDGFRA', 'ERBB3', 'TYRO3', 'PRKCQ', 'EGFR']",0.3477877319805248
regulation of adherens junction organization (GO:1903391),['VEGFA'],0.3477877319805248
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259),['PHLDB1'],0.3477877319805248
C-terminal protein deglutamylation (GO:0035609),['FOLH1'],0.3477877319805248
camera-type eye photoreceptor cell differentiation (GO:0060219),['SOX8'],0.3477877319805248
cardiac endothelial cell differentiation (GO:0003348),['NOTCH1'],0.3477877319805248
cardiac muscle cell myoblast differentiation (GO:0060379),['NOTCH1'],0.3477877319805248
regulation of chloride transport (GO:2001225),['ATP8B1'],0.3477877319805248
caveolin-mediated endocytosis (GO:0072584),['MLC1'],0.3477877319805248
cell-cell adhesion mediated by integrin (GO:0033631),['PLPP3'],0.3477877319805248
cellular response to indole-3-methanol (GO:0071681),['JUP'],0.3477877319805248
regulation of growth rate (GO:0040009),['NOTCH1'],0.3477877319805248
cellular response to salt stress (GO:0071472),['ZFP36L1'],0.3477877319805248
regulation of hormone metabolic process (GO:0032350),['TCF7L2'],0.3477877319805248
cerebellar Purkinje cell differentiation (GO:0021702),['LHX1'],0.3477877319805248
regulation of kidney development (GO:0090183),['SOX8'],0.3477877319805248
regulation of myoblast proliferation (GO:2000291),['MEGF10'],0.3477877319805248
regulation of plasma membrane organization (GO:1903729),['GSN'],0.3477877319805248
embryonic viscerocranium morphogenesis (GO:0048703),['LHX1'],0.3477877319805248
enamel mineralization (GO:0070166),['FAM20A'],0.3477877319805248
endocardial cell differentiation (GO:0060956),['NOTCH1'],0.3477877319805248
endodermal cell fate specification (GO:0001714),['SOX2'],0.3477877319805248
regulation of protein kinase C activity (GO:1900019),['EGFR'],0.3477877319805248
endothelin receptor signaling pathway (GO:0086100),['EDNRB'],0.3477877319805248
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222),['QDPR'],0.3477877319805248
regulation of respiratory gaseous exchange by nervous system process (GO:0002087),['ATP1A2'],0.3477877319805248
regulation of retinal ganglion cell axon guidance (GO:0090259),['VEGFA'],0.3477877319805248
regulation of skeletal muscle tissue development (GO:0048641),['MEGF10'],0.3477877319805248
female genitalia development (GO:0030540),['LHX1'],0.3477877319805248
forebrain regionalization (GO:0021871),['LHX1'],0.3477877319805248
glomerular visceral epithelial cell migration (GO:0090521),['ANLN'],0.3477877319805248
regulation of type B pancreatic cell apoptotic process (GO:2000674),['TCF7L2'],0.3477877319805248
glucosylceramide metabolic process (GO:0006678),['FA2H'],0.3477877319805248
regulation of vascular associated smooth muscle contraction (GO:0003056),['DOCK5'],0.3477877319805248
glycerol ether metabolic process (GO:0006662),['PLAAT3'],0.3477877319805248
regulation of voltage-gated sodium channel activity (GO:1905150),['FGF11'],0.3477877319805248
response to denervation involved in regulation of muscle adaptation (GO:0014894),['FBXO32'],0.3477877319805248
response to indole-3-methanol (GO:0071680),['JUP'],0.3477877319805248
histone citrullination (GO:0036414),['PADI2'],0.3477877319805248
response to salt stress (GO:0009651),['ZFP36L1'],0.3477877319805248
retina vasculature development in camera-type eye (GO:0061298),['PDGFRA'],0.3477877319805248
Schwann cell differentiation (GO:0014037),['ERBB3'],0.3477877319805248
sensory perception of sour taste (GO:0050915),['PKD2L1'],0.3477877319805248
L-aspartate transmembrane transport (GO:0070778),['SLC1A3'],0.3477877319805248
L-phenylalanine catabolic process (GO:0006559),['QDPR'],0.3477877319805248
tight junction organization (GO:0120193),['CLDN11'],0.3477877319805248
membrane raft distribution (GO:0031580),['MAL'],0.3477877319805248
metanephric distal tubule development (GO:0072235),['POU3F3'],0.3477877319805248
metanephric nephron tubule morphogenesis (GO:0072282),['SOX8'],0.3477877319805248
metanephric renal vesicle morphogenesis (GO:0072283),['SALL1'],0.3477877319805248
vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324),['VEGFA'],0.3477877319805248
vitamin D3 metabolic process (GO:0070640),['CYP27A1'],0.3477877319805248
negative regulation of gonadotropin secretion (GO:0032277),['GJA1'],0.3477877319805248
negative regulation of hydrogen peroxide-induced neuron death (GO:1903208),['NR4A3'],0.3477877319805248
negative regulation of myelination (GO:0031642),['TMEM98'],0.3477877319805248
negative regulation of PERK-mediated unfolded protein response (GO:1903898),['ABCA7'],0.3477877319805248
negative regulation of smooth muscle contraction (GO:0045986),['DOCK5'],0.3477877319805248
negative regulation of T cell migration (GO:2000405),['APOD'],0.3477877319805248
nephric duct development (GO:0072176),['LHX1'],0.3477877319805248
nephron tubule formation (GO:0072079),['SOX8'],0.3477877319805248
p38MAPK cascade (GO:0038066),['ZFP36L1'],0.3477877319805248
peripheral nervous system neuron differentiation (GO:0048934),['ETV1'],0.3477877319805248
positive regulation of axon extension involved in axon guidance (GO:0048842),['VEGFA'],0.3477877319805248
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261),['PHLDB1'],0.3477877319805248
positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033),['VEGFA'],0.3477877319805248
positive regulation of feeding behavior (GO:2000253),['NR4A3'],0.3477877319805248
positive regulation of mast cell chemotaxis (GO:0060754),['VEGFA'],0.3477877319805248
positive regulation of metallopeptidase activity (GO:1905050),['MBP'],0.3477877319805248
positive regulation of protein kinase C activity (GO:1900020),['EGFR'],0.3477877319805248
protein citrullination (GO:0018101),['PADI2'],0.3477877319805248
establishment of spindle orientation (GO:0051294),"['GJA1', 'INSC']",0.3477877319805248
regulation of striated muscle contraction (GO:0006942),"['TNNI1', 'ATP1A2']",0.3477877319805248
fatty-acyl-CoA biosynthetic process (GO:0046949),"['ACSBG1', 'ELOVL7']",0.3477877319805248
maintenance of blood-brain barrier (GO:0035633),"['GJA1', 'MBP']",0.3477877319805248
negative regulation of Notch signaling pathway (GO:0045746),"['TSPAN15', 'EGFR']",0.3477877319805248
phosphatidylcholine acyl-chain remodeling (GO:0036151),"['PLA2G4A', 'PLAAT3']",0.3477877319805248
positive regulation of endopeptidase activity (GO:0010950),"['MBP', 'VSIR']",0.3477877319805248
positive regulation of protein import (GO:1904591),"['JUP', 'ZIC1']",0.3477877319805248
cellular response to organic cyclic compound (GO:0071407),"['NR4A3', 'JUP', 'ATP1A2', 'EGFR', 'ZFP36L1']",0.3477877319805248
cellular component disassembly (GO:0022411),"['ADAMTS4', 'GSN', 'MMP15']",0.3477877319805248
ERBB signaling pathway (GO:0038127),"['ERBB3', 'GAB1', 'EGFR']",0.3477877319805248
extracellular matrix disassembly (GO:0022617),"['ADAMTS4', 'GSN', 'MMP15']",0.3477877319805248
"regulation of transcription, DNA-templated (GO:0006355)","['NFIX', 'NOTCH1', 'MYRF', 'EPAS1', 'LITAF', 'GLI3', 'EGFR', 'SOX2', 'SALL1', 'SALL3', 'ZIC1', 'HES1', 'SOX8', 'SOX6', 'HES5', 'TCF7L2', 'NKX6-2', 'PRRX1', 'ATP8B1', 'EBF1', 'TFEB', 'MITF', 'ETV1', 'OLIG1', 'OLIG2', 'SOX10', 'MEIS2', 'ST18', 'POU3F3', 'VEGFA', 'NR4A2', 'ZEB2', 'MEIS1', 'NR4A3', 'NFIA', 'IRF3', 'NFIB', 'LHX1', 'ID3', 'PRKCQ', 'CRYAB', 'CREB5']",0.3477877319805248
embryonic skeletal system morphogenesis (GO:0048704),"['PDGFRA', 'DSCAML1']",0.3477877319805248
renal water homeostasis (GO:0003091),"['AQP4', 'AVP']",0.3477877319805248
negative regulation of axon extension (GO:0030517),"['MAG', 'SEMA6D']",0.3477877319805248
phospholipid translocation (GO:0045332),"['ATP8B1', 'ABCA7']",0.3477877319805248
positive regulation of leukocyte cell-cell adhesion (GO:1903039),"['NR4A3', 'PRKCQ']",0.3477877319805248
positive regulation of Rho protein signal transduction (GO:0035025),"['GPR17', 'LPAR1']",0.3477877319805248
canonical Wnt signaling pathway (GO:0060070),"['NR4A2', 'TCF7L2', 'PLPP3']",0.3477877319805248
regulation of tyrosine phosphorylation of STAT protein (GO:0042509),"['HES1', 'HES5', 'VEGFA']",0.3477877319805248
activation of phospholipase C activity (GO:0007202),"['LPAR1', 'EGFR']",0.3477877319805248
regulation of cell migration involved in sprouting angiogenesis (GO:0090049),"['NOTCH1', 'VEGFA']",0.3477877319805248
cardiac muscle tissue morphogenesis (GO:0055008),"['NOTCH1', 'S1PR1']",0.3477877319805248
regulation of intracellular protein transport (GO:0033157),"['IFI27', 'PRR5L']",0.3477877319805248
endodermal cell differentiation (GO:0035987),"['ITGB5', 'MMP15']",0.3477877319805248
negative regulation of chemotaxis (GO:0050922),"['NOTCH1', 'SEMA6D']",0.3477877319805248
negative regulation of developmental growth (GO:0048640),"['MAG', 'NKD1']",0.3477877319805248
supramolecular fiber organization (GO:0097435),"['MYO1E', 'TSPAN15', 'GSN', 'COL27A1', 'COL11A2', 'CDC42EP2', 'PLOD1', 'MFGE8', 'ERMN']",0.3477877319805248
generation of neurons (GO:0048699),"['NR4A2', 'LHX1', 'OLIG1', 'HES1', 'OLIG2', 'HES5']",0.3477877319805248
cellular response to decreased oxygen levels (GO:0036294),"['EPAS1', 'ZFP36L1', 'VEGFA']",0.3477877319805248
regulation of Wnt signaling pathway (GO:0030111),"['SALL1', 'FAM53B', 'NKD1', 'WLS']",0.3477877319805248
pteridine-containing compound biosynthetic process (GO:0042559),['QDPR'],0.3477877319805248
radial glial cell differentiation (GO:0060019),['HES1'],0.3477877319805248
regulation of adipose tissue development (GO:1904177),['PLAAT3'],0.3477877319805248
aspartate metabolic process (GO:0006531),['ASPA'],0.3477877319805248
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073),['JUP'],0.3477877319805248
regulation of hepatocyte proliferation (GO:2000345),['PTN'],0.3477877319805248
cellular water homeostasis (GO:0009992),['AQP4'],0.3477877319805248
regulation of macromolecule biosynthetic process (GO:0010556),['MITF'],0.3477877319805248
regulation of macrophage proliferation (GO:0120040),['IL33'],0.3477877319805248
regulation of mast cell chemotaxis (GO:0060753),['VEGFA'],0.3477877319805248
equilibrioception (GO:0050957),['CDH23'],0.3477877319805248
regulation of relaxation of cardiac muscle (GO:1901897),['PDE4B'],0.3477877319805248
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221),['QDPR'],0.3477877319805248
gastrulation with mouth forming second (GO:0001702),['LHX1'],0.3477877319805248
regulation of type B pancreatic cell proliferation (GO:0061469),['NR4A3'],0.3477877319805248
glycosylceramide metabolic process (GO:0006677),['GAL3ST1'],0.3477877319805248
response to catecholamine (GO:0071869),['NR4A3'],0.3477877319805248
sialylation (GO:0097503),['ST6GAL1'],0.3477877319805248
L-serine biosynthetic process (GO:0006564),['PHGDH'],0.3477877319805248
leukocyte chemotaxis involved in inflammatory response (GO:0002232),['PTN'],0.3477877319805248
maintenance of DNA repeat elements (GO:0043570),['TCF7L2'],0.3477877319805248
TORC2 signaling (GO:0038203),['PRR5L'],0.3477877319805248
mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003337),['SALL1'],0.3477877319805248
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185),['PTN'],0.3477877319805248
negative regulation of actin filament depolymerization (GO:0030835),['GSN'],0.3477877319805248
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985),['ABCA7'],0.3477877319805248
negative regulation of astrocyte differentiation (GO:0048712),['HES5'],0.3477877319805248
negative regulation of cardiac muscle cell differentiation (GO:2000726),['SOX6'],0.3477877319805248
"negative regulation of CD8-positive, alpha-beta T cell activation (GO:2001186)",['VSIR'],0.3477877319805248
negative regulation of chemokine-mediated signaling pathway (GO:0070100),['PADI2'],0.3477877319805248
negative regulation of cytosolic calcium ion concentration (GO:0051481),['ATP1A2'],0.3477877319805248
negative regulation of erythrocyte differentiation (GO:0045647),['ZFP36L1'],0.3477877319805248
negative regulation of lamellipodium organization (GO:1902744),['PLXNB3'],0.3477877319805248
negative regulation of lens fiber cell differentiation (GO:1902747),['SPRY2'],0.3477877319805248
negative regulation of morphogenesis of an epithelium (GO:1905331),['NKD1'],0.3477877319805248
negative regulation of relaxation of muscle (GO:1901078),['PDE4B'],0.3477877319805248
negative regulation of trophoblast cell migration (GO:1901164),['GJA1'],0.3477877319805248
nephric duct morphogenesis (GO:0072178),['LHX1'],0.3477877319805248
peripheral nervous system neuron development (GO:0048935),['ETV1'],0.3477877319805248
positive regulation of deacetylase activity (GO:0090045),['VEGFA'],0.3477877319805248
positive regulation of epithelial cell differentiation involved in kidney development (GO:2000698),['LHX1'],0.3477877319805248
positive regulation of kidney development (GO:0090184),['SOX8'],0.3477877319805248
positive regulation of osteoblast proliferation (GO:0033690),['SOX8'],0.3477877319805248
MAPK cascade (GO:0000165),"['PDGFRA', 'ERBB3', 'PRKCQ', 'MBP', 'AVP', 'EGFR', 'ZFP36L1', 'RASGRP3']",0.3477877319805248
apoptotic cell clearance (GO:0043277),"['MEGF10', 'TYRO3']",0.3477877319805248
regulation of interleukin-17 production (GO:0032660),"['PRKCQ', 'VSIR']",0.3477877319805248
vasculogenesis (GO:0001570),"['NOTCH1', 'VEGFA']",0.3477877319805248
very long-chain fatty acid metabolic process (GO:0000038),"['ACSBG1', 'ELOVL7']",0.3477877319805248
positive regulation of phosphorylation (GO:0042327),"['PDGFRA', 'DAB2', 'ERBB3', 'TYRO3', 'FAM20A', 'EGFR', 'VEGFA']",0.3477877319805248
positive regulation of cell-substrate adhesion (GO:0010811),"['DOCK5', 'JUP', 'LIMS2']",0.3477877319805248
protein-containing complex subunit organization (GO:0043933),"['MITF', 'HES1', 'HES5', 'SKAP2']",0.3477877319805248
gland development (GO:0048732),"['SOX2', 'SALL1', 'HES1']",0.3477877319805248
central nervous system neuron differentiation (GO:0021953),"['NR4A2', 'LHX1']",0.3477877319805248
epithelial tube morphogenesis (GO:0060562),"['LHX1', 'HES1']",0.3477877319805248
negative regulation of blood vessel endothelial cell migration (GO:0043537),"['NOTCH1', 'JUP']",0.3477877319805248
regulation of protein kinase B signaling (GO:0051896),"['PDGFRA', 'TCF7L2', 'ERBB3', 'GAB1', 'SPRY2', 'EGFR']",0.3477877319805248
positive regulation of cellular component organization (GO:0051130),"['DAB2', 'CDC42EP2', 'LRP4', 'VEGFA']",0.3477877319805248
embryonic skeletal system development (GO:0048706),"['PDGFRA', 'DSCAML1']",0.3477877319805248
semaphorin-plexin signaling pathway (GO:0071526),"['SEMA6D', 'PLXNB3']",0.3477877319805248
negative regulation of Ras protein signal transduction (GO:0046580),"['HEG1', 'SPRY2']",0.3477877319805248
regulation of Rho protein signal transduction (GO:0035023),"['GPR17', 'HEG1', 'LPAR1']",0.3477877319805248
negative regulation of cell adhesion (GO:0007162),"['NOTCH1', 'ERBB3', 'PLXNB3']",0.3477877319805248
regulation of protein-containing complex assembly (GO:0043254),"['GSN', 'CDC42EP2', 'CRYAB', 'VEGFA']",0.3477877319805248
cellular component assembly (GO:0022607),"['GSN', 'MITF', 'HES1', 'TLCD1', 'LIMS2', 'HES5', 'SKAP2']",0.3477877319805248
